,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
0,9839.64,170136.0,160296.36,0.0,0.0
1,1864.28,21249.0,19384.72,0.0,0.0
2,181.0,181.0,0.0,0.0,0.0
3,181.0,181.0,0.0,21182.0,0.0
4,11668.14,41554.0,29885.86,0.0,0.0
5,7817.71,53860.0,46042.29,0.0,0.0
6,7107.77,183195.0,176087.23,0.0,0.0
7,7861.64,176087.23,168225.59,0.0,0.0
8,4024.36,2671.0,0.0,0.0,0.0
9,5337.77,41720.0,36382.23,41898.0,40348.79
10,9644.94,4465.0,0.0,10845.0,157982.12
11,3099.97,20771.0,17671.03,0.0,0.0
12,2560.74,5070.0,2509.26,0.0,0.0
13,11633.76,10127.0,0.0,0.0,0.0
14,4098.78,503264.0,499165.22,0.0,0.0
15,229133.94,15325.0,0.0,5083.0,51513.44
16,1563.82,450.0,0.0,0.0,0.0
17,1157.86,21156.0,19998.14,0.0,0.0
18,671.64,15123.0,14451.36,0.0,0.0
19,215310.3,705.0,0.0,22425.0,0.0
20,1373.43,13854.0,12480.57,0.0,0.0
21,9302.79,11299.0,1996.21,29832.0,16896.7
22,1065.41,1817.0,751.59,10330.0,0.0
23,3876.41,67852.0,63975.59,0.0,0.0
24,311685.89,10835.0,0.0,6267.0,2719172.89
25,6061.13,443.0,0.0,0.0,0.0
26,9478.39,116494.0,107015.61,0.0,0.0
27,8009.09,10968.0,2958.91,0.0,0.0
28,8901.99,2958.91,0.0,0.0,0.0
29,9920.52,0.0,0.0,0.0,0.0
30,3448.92,0.0,0.0,0.0,0.0
31,4206.84,0.0,0.0,0.0,0.0
32,5885.56,0.0,0.0,0.0,0.0
33,5307.88,0.0,0.0,0.0,0.0
34,5031.22,0.0,0.0,0.0,0.0
35,24213.67,0.0,0.0,0.0,0.0
36,8603.42,253.0,0.0,0.0,0.0
37,2791.42,300481.0,297689.58,0.0,0.0
38,7413.54,297689.58,290276.03,0.0,0.0
39,3295.19,233633.0,230337.81,0.0,0.0
40,1684.81,297.0,0.0,0.0,0.0
41,5758.59,32604.0,26845.41,209699.0,16997.22
42,110414.71,26845.41,0.0,288800.0,2415.16
43,7823.46,998.0,0.0,0.0,0.0
44,5086.48,0.0,0.0,0.0,0.0
45,5281.48,152019.0,146737.52,0.0,0.0
46,13875.98,15818.0,1942.02,0.0,0.0
47,56953.9,1942.02,0.0,70253.0,64106.18
48,5346.89,0.0,0.0,652637.0,6453430.91
49,2204.04,586.0,0.0,0.0,0.0
50,2641.47,23053.0,20411.53,0.0,0.0
51,23261.3,20411.53,0.0,25742.0,0.0
52,2330.64,203543.0,201212.36,0.0,0.0
53,1614.64,41276.0,39661.36,0.0,0.0
54,9164.71,47235.77,38071.06,0.0,0.0
55,2970.97,38071.06,35100.09,0.0,0.0
56,38.66,16174.0,16135.34,0.0,0.0
57,2252.44,1627.0,0.0,0.0,0.0
58,62610.8,79114.0,16503.2,517.0,8383.29
59,5529.13,8547.0,3017.87,10206.0,0.0
60,82940.31,3017.87,0.0,132372.0,49864.36
61,4510.22,10256.0,5745.78,10697.0,0.0
62,8727.74,882770.0,874042.26,12636.0,0.0
63,2599.46,874042.26,871442.79,0.0,0.0
64,4874.49,153.0,0.0,253104.0,0.0
65,6440.78,2192.0,0.0,0.0,0.0
66,4910.14,41551.0,36640.86,0.0,0.0
67,6444.64,12019.0,5574.36,0.0,0.0
68,5149.66,4782.0,0.0,52752.0,24044.18
69,7292.16,216827.0,209534.84,0.0,0.0
70,47458.86,209534.84,162075.98,52120.0,0.0
71,136872.92,162075.98,25203.05,217806.0,0.0
72,94253.33,25203.05,0.0,99773.0,965870.05
73,2998.04,12030.0,9031.96,0.0,0.0
74,3454.08,9031.96,5577.88,0.0,0.0
75,4316.2,10999.0,6682.8,0.0,0.0
76,2131.84,224.0,0.0,0.0,0.0
77,12986.61,23350.0,10363.39,0.0,0.0
78,42712.39,10363.39,0.0,57901.66,24044.18
79,77957.68,0.0,0.0,94900.0,22233.65
80,17231.46,0.0,0.0,24672.0,0.0
81,78766.03,0.0,0.0,103772.0,277515.05
82,224606.64,0.0,0.0,354678.92,0.0
83,125872.53,0.0,0.0,348512.0,3420103.09
84,379856.23,0.0,0.0,900180.0,19169204.93
85,1505626.01,0.0,0.0,29031.0,5515763.34
86,554026.99,0.0,0.0,579285.56,0.0
87,147543.1,0.0,0.0,223220.0,16518.36
88,761507.39,0.0,0.0,1280036.23,19169204.93
89,1429051.47,0.0,0.0,2041543.62,19169204.93
90,358831.92,0.0,0.0,474384.53,3420103.09
91,367768.4,0.0,0.0,370763.1,16518.36
92,209711.11,0.0,0.0,399214.71,2415.16
93,583848.46,0.0,0.0,667778.0,2107778.11
94,1724887.05,0.0,0.0,3470595.1,19169204.93
95,710544.77,0.0,0.0,738531.5,16518.36
96,581294.26,0.0,0.0,5195482.15,19169204.93
97,11996.58,0.0,0.0,40255.0,0.0
98,2875.1,15443.0,12567.9,0.0,0.0
99,8586.98,3763.0,0.0,0.0,0.0
